"","Step","X1","X2","X3","X4","X5"
"91",9,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"92",9,0.796366369118914,0.42886429768987,0.329097555251792,0.927400591317564,0.500063531333581
"93",9,0.101229002000764,0.103510939516127,0.262563402298838,0.0018256432376802,0.1445391648449
"94",9,0.605683450354263,0.283427779795602,0.614460975863039,0.383130574366078,0.564816235564649
"95",9,0.261263333959505,0.114349625073373,0.52255153702572,0.0207881946116686,0.212807411560789
"96",9,0.115328553831205,0.450995115796104,0.118542914045975,0.275656245881692,0.627755640540272
"97",9,0.888430204009637,0.260413923766464,0.722809249302372,0.905878391815349,0.00702548259869218
"98",9,0.789778494741768,0.849823635304347,0.802811487577856,0.483796266373247,0.944478267803788
"99",9,0.635876889107749,0.736547883832827,0.357735220575705,0.882586928550154,0.620413667988032
"100",9,1,1,1,1,1
"101",10,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"102",10,0.796366369118914,0.42886429768987,0.329097555251792,0.927400591317564,0.500063531333581
"103",10,0.101229002000764,0.103510939516127,0.262563402298838,0.0018256432376802,0.1445391648449
"104",10,0.605683450354263,0.283427779795602,0.614460975863039,0.383130574366078,0.564816235564649
"105",10,0.261263333959505,0.114349625073373,0.52255153702572,0.0207881946116686,0.212807411560789
"106",10,0.115328553831205,0.450995115796104,0.118542914045975,0.275656245881692,0.627755640540272
"107",10,0.888430204009637,0.260413923766464,0.722809249302372,0.905878391815349,0.00702548259869218
"108",10,0.789778494741768,0.849823635304347,0.802811487577856,0.483796266373247,0.944478267803788
"109",10,0.635876889107749,0.736547883832827,0.357735220575705,0.882586928550154,0.620413667988032
"110",10,0.61377020389773,0.740840356098488,0.44671420333907,0.800308421254158,0.106147415703163
