"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"217",2,1,2,3,3,1,1,2,2
"218",1,2,1,1,1,1,3,1,1
"219",1,2,1,1,1,1,2,1,1
"220",1,2,1,1,1,1,0,1,1
"221",2,1,2,3,3,1,1,2,2
"222",2,1,2,3,3,1,1,2,2
"223",1,2,3,1,1,1,0,1,1
"224",1,2,1,1,1,1,0,1,1
"225",2,1,2,3,3,1,1,2,2
"226",1,3,5,2,2,1,0,0,0
"227",1,2,1,1,1,1,0,1,1
"228",2,1,3,1,3,1,0,0,1
"229",1,2,1,1,1,1,2,1,1
"230",1,2,1,1,1,1,3,1,1
"231",1,2,1,1,1,1,2,1,1
"232",2,1,2,3,3,1,1,2,2
"233",1,2,1,1,1,1,0,1,1
"234",2,1,2,3,3,1,1,2,2
"235",1,2,3,1,1,1,0,1,1
"236",2,1,2,3,3,1,1,2,2
"237",2,1,2,3,3,1,1,2,2
"238",1,2,1,1,1,1,2,1,1
"239",2,1,2,3,3,1,1,2,2
"240",2,1,3,1,3,3,0,0,0
"241",1,2,1,1,1,1,3,1,1
"242",2,1,2,3,3,1,1,2,2
"243",2,1,2,3,3,1,1,2,2
"244",2,1,4,2,1,1,0,0,0
"245",1,2,1,1,1,1,0,0,0
"246",2,1,2,3,3,1,1,2,2
"247",1,3,5,2,2,1,0,0,0
"248",1,2,1,1,1,1,3,1,1
"249",1,2,1,1,1,1,0,1,1
"250",2,1,2,3,3,1,1,2,2
"251",1,2,1,1,1,1,2,1,1
"252",1,2,3,1,1,1,0,1,1
"253",2,1,2,3,3,1,1,2,2
"254",1,2,1,1,1,1,3,1,1
"255",2,1,2,3,3,1,1,2,2
"256",2,1,2,3,3,1,1,2,2
"257",2,1,2,3,3,1,1,2,2
"258",1,3,4,2,1,1,0,0,0
"259",1,3,5,2,2,1,0,0,3
"260",2,1,2,3,3,1,1,2,2
"261",1,2,1,1,1,1,3,1,1
"262",1,2,1,1,1,1,2,1,1
"263",1,3,4,2,1,1,0,0,0
"264",2,1,2,3,3,1,0,0,2
"265",2,1,2,3,3,1,1,2,2
"266",2,1,3,1,3,1,0,0,1
"267",1,2,1,1,1,1,0,1,1
"268",1,2,4,2,1,1,0,0,0
"269",1,2,1,1,1,1,2,1,1
"270",1,2,1,1,1,1,0,1,1
"271",2,1,2,1,3,3,0,0,0
"272",1,2,3,1,1,1,0,1,1
"273",1,2,3,1,3,1,0,1,1
"274",1,2,1,1,1,1,3,1,1
"275",1,2,1,1,1,1,0,1,1
"276",1,2,1,1,1,1,2,1,1
"277",2,1,2,3,3,1,1,2,2
"278",1,3,5,2,2,1,0,0,0
"279",2,1,2,3,3,1,1,2,2
"280",2,1,2,3,3,1,1,2,2
"281",1,2,3,1,3,1,0,1,1
"282",1,2,1,1,1,1,0,0,1
"283",2,1,2,3,3,1,1,2,2
"284",1,2,1,1,1,1,2,1,1
"285",2,1,2,3,3,1,1,2,2
"286",2,1,2,3,3,1,1,2,2
"287",2,1,2,3,3,1,1,2,2
"288",1,2,1,1,1,1,0,1,1
"289",1,2,1,1,1,1,3,1,1
"290",2,1,2,1,3,1,0,0,1
"291",1,2,1,1,1,1,3,1,1
"292",1,2,3,1,3,1,0,1,1
"293",2,1,2,3,3,1,1,2,2
"294",2,1,2,3,3,1,1,2,2
"295",1,3,4,2,1,1,0,0,0
"296",2,1,2,3,3,1,0,0,2
"297",1,2,3,1,3,1,0,1,1
"298",1,2,1,1,1,1,3,1,1
"299",1,2,1,1,1,1,3,1,1
"300",2,1,2,3,3,1,1,2,2
"301",1,2,1,1,1,1,2,1,1
"302",1,3,4,2,1,1,0,0,0
"303",1,2,1,1,1,1,0,1,1
"304",1,2,1,1,1,1,0,1,1
"305",2,1,3,1,3,1,0,0,1
"306",2,1,2,3,3,1,1,2,2
"307",1,2,1,1,1,1,2,1,1
"308",1,2,3,1,1,1,0,1,1
"309",2,1,2,3,3,1,1,2,2
"310",1,2,1,1,1,1,3,1,1
"311",1,2,1,1,1,1,0,1,1
"312",1,2,3,1,3,1,0,0,1
"313",1,2,1,1,1,1,0,1,1
"314",2,1,2,3,3,1,1,2,2
"315",1,2,3,1,1,1,0,1,1
"316",1,2,3,1,3,1,0,1,1
"317",1,2,3,1,3,1,0,1,1
"318",1,3,4,2,1,1,0,0,0
"319",2,1,2,3,3,1,1,2,2
"320",2,1,2,3,3,1,0,2,2
"321",2,1,2,3,3,1,1,2,2
"322",1,3,4,2,1,1,0,0,0
"323",1,3,5,2,2,1,0,0,0
"324",1,3,5,2,2,1,0,0,0
"325",1,2,1,1,1,1,2,1,1
"326",1,2,3,1,1,1,0,1,1
"327",1,2,1,1,1,1,0,1,1
"328",1,2,1,1,1,1,0,1,1
"329",1,2,1,1,1,1,3,1,1
"330",1,2,1,1,1,1,3,1,1
"331",1,2,1,1,1,1,3,1,1
"332",2,1,2,3,3,1,1,2,2
"333",1,2,1,1,1,1,3,1,1
"334",1,2,1,1,1,1,0,1,1
"335",2,1,2,3,3,1,1,2,2
"336",1,2,3,1,3,1,0,1,1
"337",1,3,5,2,2,1,0,0,0
"338",1,2,1,1,1,1,2,1,1
"339",2,1,2,3,3,1,1,2,2
"340",1,2,1,1,1,1,0,0,0
"341",1,2,1,1,1,1,3,1,1
"342",1,2,1,1,1,1,0,0,0
"343",2,1,2,3,3,1,0,0,2
"344",1,2,1,1,1,1,2,1,1
"345",1,2,1,1,1,1,0,1,1
"346",1,2,1,1,1,1,0,1,1
"347",1,2,1,1,1,1,0,1,1
"348",1,2,1,1,1,1,2,1,1
"349",2,1,2,3,3,1,0,0,1
"350",1,2,1,1,1,1,0,0,0
"351",2,1,2,3,3,1,1,2,2
"352",2,1,2,3,3,1,1,2,2
"353",1,2,3,1,3,1,0,1,1
"354",1,3,5,2,2,1,0,0,0
"355",1,2,3,1,1,1,0,1,1
"356",1,3,5,2,2,1,0,0,0
"357",1,2,3,1,1,1,0,1,1
"358",1,2,1,1,1,1,0,1,1
"359",2,1,2,3,3,1,0,2,2
"360",1,3,5,2,2,1,0,0,0
"361",1,2,3,1,3,1,0,1,1
"362",2,1,3,1,3,1,0,0,1
"363",1,2,3,1,3,1,0,1,1
"364",1,2,1,1,1,1,0,1,1
"365",1,2,3,1,3,1,0,1,1
"366",1,2,1,1,1,1,0,1,1
"367",2,1,3,1,3,1,0,0,1
"368",1,2,1,1,1,1,2,1,1
"369",2,1,2,3,3,1,1,2,2
"370",1,2,3,1,3,1,0,0,0
"371",1,2,3,1,3,1,0,1,1
"372",2,1,2,3,3,1,1,2,2
"373",1,3,4,2,1,1,0,0,0
"374",1,2,1,1,1,1,2,1,1
"375",1,2,1,1,1,1,0,1,1
"376",2,1,2,3,3,1,1,2,2
"377",1,2,3,1,3,1,0,1,1
"378",1,3,5,2,2,1,0,0,3
"379",1,3,5,2,2,1,0,0,0
"380",1,2,1,1,1,1,0,1,1
"381",1,2,1,1,1,1,0,1,1
"382",1,2,3,1,1,1,0,1,1
"383",2,1,2,3,3,1,1,2,2
"384",1,2,3,1,3,1,0,0,0
"385",2,1,2,3,3,1,1,2,2
"386",1,2,1,1,1,1,2,1,1
"387",1,2,1,1,1,1,3,1,1
"388",2,1,2,3,3,1,1,2,2
"389",1,2,1,1,1,1,3,1,1
"390",1,2,1,1,1,1,0,1,1
"391",1,2,1,1,1,1,3,1,1
"392",2,1,2,3,3,1,1,2,2
"393",2,1,2,3,3,1,0,2,2
"394",1,2,1,1,1,1,0,0,0
"395",2,1,2,3,3,1,1,2,2
"396",2,1,3,1,3,3,0,0,0
"397",2,1,2,3,3,1,1,2,2
"398",1,2,1,1,1,1,2,1,1
"399",1,2,1,1,1,1,2,1,1
"400",2,1,2,3,3,1,1,2,2
"401",1,2,1,1,1,1,3,1,1
"402",2,1,2,3,3,1,1,2,2
"403",1,2,3,1,3,1,0,1,1
"404",1,2,3,1,3,1,0,0,0
"405",1,2,3,1,3,1,0,1,1
"406",1,2,1,1,1,1,2,1,1
"407",2,1,2,3,3,1,0,2,2
"408",1,2,1,1,1,1,2,1,1
"409",2,1,2,3,3,1,0,0,0
"410",2,1,2,3,3,1,1,2,2
"411",2,1,2,3,3,1,1,2,2
"412",1,2,1,1,1,1,0,1,1
"413",1,2,1,1,1,1,2,1,1
"414",2,1,2,3,3,1,0,0,2
"415",1,2,1,1,1,1,2,1,1
"416",2,1,2,3,3,1,1,2,2
"417",1,2,1,1,1,1,3,1,1
"418",1,2,1,1,1,1,0,1,1
"419",2,1,2,3,3,1,1,2,2
"420",1,2,3,1,1,1,0,1,1
"421",1,2,1,1,1,1,0,1,1
"422",2,1,2,3,3,1,1,2,2
"423",1,3,4,2,1,1,0,0,0
"424",2,1,2,3,3,1,1,2,2
"425",1,2,1,1,1,1,0,0,1
