"","Step","intracls_average.c1","intracls_average.c2","intracls_centroid.c1","intracls_centroid.c2","intercls_centroid.c1","intercls_centroid.c2","cluster_size","cluster_center.1","cluster_center.2"
"c126",26,"0.430","0.121","0.317","0.111","0.000","1.074","17","0.330","0.101"
"c226",26,"0.430","0.121","0.317","0.111","1.074","0.000","23","0.940","0.985"
"c127",27,"0.4299","0.0933","0.3167","0.0844","0.000","1.079","17","0.330","0.101"
"c227",27,"0.4299","0.0933","0.3167","0.0844","1.079","0.000","23","0.959","0.978"
"c128",28,"0.4436","0.0933","0.3223","0.0844","0.000","1.047","17","0.342","0.131"
"c228",28,"0.4436","0.0933","0.3223","0.0844","1.047","0.000","23","0.959","0.978"
"c129",29,"0.107","0.450","0.0966","0.3257","0.000","1.044","24","0.950","0.975"
"c229",29,"0.107","0.450","0.0966","0.3257","1.044","0.000","16","0.327","0.137"
"c130",30,"0.107","0.468","0.0966","0.3368","0.000","1.014","24","0.950","0.975"
"c230",30,"0.107","0.468","0.0966","0.3368","1.014","0.000","16","0.331","0.172"
"c131",31,"0.107","0.450","0.0966","0.3163","0.000","1.027","24","0.950","0.975"
"c231",31,"0.107","0.450","0.0966","0.3163","1.027","0.000","16","0.342","0.147"
"c132",32,"0.107","0.449","0.0966","0.3152","0.000","1.019","24","0.950","0.975"
"c232",32,"0.107","0.449","0.0966","0.3152","1.019","0.000","16","0.342","0.157"
"c133",33,"0.488","0.107","0.3392","0.0966","0.000","0.999","16","0.343","0.181"
"c233",33,"0.488","0.107","0.3392","0.0966","0.999","0.000","24","0.950","0.975"
"c134",34,"0.488","0.124","0.337","0.107","0.000","0.968","15","0.366","0.193"
"c234",34,"0.488","0.124","0.337","0.107","0.968","0.000","25","0.951","0.964"
"c135",35,"0.182","0.441","0.154","0.301","0.000","0.946","26","0.917","0.963"
"c235",35,"0.182","0.441","0.154","0.301","0.946","0.000","14","0.457","0.137"
"c136",36,"0.202","0.422","0.171","0.287","0.000","0.914","27","0.902","0.964"
"c236",36,"0.202","0.422","0.171","0.287","0.914","0.000","13","0.492","0.147"
"c137",37,"0.422","0.214","0.287","0.181","0.000","0.906","13","0.492","0.147"
"c237",37,"0.422","0.214","0.287","0.181","0.906","0.000","27","0.895","0.958"
"c138",38,"0.422","0.225","0.287","0.188","0.000","0.901","13","0.492","0.147"
"c238",38,"0.422","0.225","0.287","0.188","0.901","0.000","27","0.885","0.958"
"c139",39,"0.436","0.208","0.300","0.174","0.000","0.910","14","0.461","0.159"
"c239",39,"0.436","0.208","0.300","0.174","0.910","0.000","26","0.900","0.957"
"c140",40,"0.452","0.215","0.314","0.179","0.000","0.885","15","0.495","0.166"
"c240",40,"0.452","0.215","0.314","0.179","0.885","0.000","25","0.896","0.955"
