    Step      data
121    0 1.0000000
122    0 1.0000000
123    0 1.0000000
124    0 1.0000000
125    0 1.0000000
126    0 1.0000000
127    0 1.0000000
128    0 1.0000000
129    0 1.0000000
130    0 1.0000000
131    0 1.0000000
132    0 1.0000000
133    0 1.0000000
134    0 1.0000000
135    0 1.0000000
136    0 1.0000000
137    0 1.0000000
138    0 1.0000000
139    0 1.0000000
140    0 1.0000000
141    0 1.0000000
142    0 1.0000000
143    0 1.0000000
144    0 1.0000000
145    0 1.0000000
146    0 1.0000000
147    0 1.0000000
148    0 1.0000000
149    0 1.0000000
150    0 1.0000000
151    0 1.0000000
152    0 1.0000000
153    0 1.0000000
154    0 1.0000000
155    0 1.0000000
156    0 1.0000000
157    0 1.0000000
158    0 1.0000000
159    0 1.0000000
160    0 1.0000000
161    0 1.0000000
162    0 1.0000000
163    0 1.0000000
164    0 1.0000000
165    0 1.0000000
166    0 1.0000000
167    0 1.0000000
168    0 1.0000000
169    0 1.0000000
170    0 1.0000000
171    0 1.0000000
172    0 1.0000000
173    0 1.0000000
174    0 1.0000000
175    0 1.0000000
176    0 1.0000000
177    0 1.0000000
178    0 1.0000000
179    0 1.0000000
180    0 1.0000000
181    0 1.0000000
182    0 1.0000000
183    0 1.0000000
184    0 1.0000000
185    0 1.0000000
186    0 1.0000000
187    0 1.0000000
188    0 1.0000000
189    0 1.0000000
190    0 1.0000000
191    0 1.0000000
192    0 1.0000000
193    0 1.0000000
194    0 1.0000000
195    0 1.0000000
196    0 1.0000000
197    0 1.0000000
198    0 1.0000000
199    0 1.0000000
200    0 1.0000000
201    1 0.5168029
202    1 0.0000000
203    1 0.0000000
204    1 0.0000000
205    1 0.0000000
206    1 0.0000000
207    1 0.0000000
208    1 0.0000000
209    1 0.0000000
210    1 0.0000000
211    1 0.0000000
212    1 0.0000000
213    1 0.0000000
214    1 0.0000000
215    1 0.0000000
216    1 0.0000000
217    1 0.0000000
218    1 0.0000000
219    1 0.0000000
220    1 0.0000000
221    1 0.0000000
222    1 0.0000000
223    1 0.0000000
224    1 0.0000000
225    1 0.0000000
226    1 0.0000000
227    1 0.0000000
228    1 0.0000000
229    1 0.0000000
230    1 0.0000000
231    1 0.0000000
232    1 0.0000000
233    1 0.0000000
234    1 0.0000000
235    1 0.0000000
236    1 0.0000000
237    1 0.0000000
238    1 0.0000000
239    1 0.0000000
240    1 0.0000000
241    1 0.0000000
242    1 0.0000000
243    1 0.0000000
244    1 0.0000000
245    1 0.0000000
246    1 0.0000000
247    1 0.0000000
248    1 0.0000000
249    1 0.0000000
250    1 0.0000000
251    1 0.0000000
252    1 0.0000000
253    1 0.0000000
254    1 0.0000000
255    1 0.0000000
256    1 0.0000000
257    1 0.0000000
258    1 0.0000000
259    1 0.0000000
260    1 0.0000000
261    1 0.0000000
262    1 0.0000000
263    1 0.0000000
264    1 0.0000000
265    1 0.0000000
266    1 0.0000000
267    1 0.0000000
268    1 0.0000000
269    1 0.0000000
270    1 0.0000000
271    1 0.0000000
272    1 0.0000000
273    1 0.0000000
274    1 0.0000000
275    1 0.0000000
276    1 0.0000000
277    1 0.0000000
278    1 0.0000000
279    1 0.0000000
280    1 0.0000000
281    1 0.0000000
282    1 0.0000000
283    1 0.0000000
284    1 0.0000000
285    1 0.0000000
286    1 0.0000000
287    1 0.0000000
288    1 0.0000000
289    1 0.0000000
290    1 0.0000000
291    1 0.0000000
292    1 0.0000000
293    1 0.0000000
294    1 0.0000000
295    1 0.0000000
296    1 0.0000000
297    1 0.0000000
298    1 0.0000000
299    1 0.0000000
300    1 0.0000000
301    1 1.0000000
302    1 1.0000000
303    1 1.0000000
304    1 1.0000000
305    1 1.0000000
306    1 1.0000000
307    1 1.0000000
308    1 1.0000000
309    1 1.0000000
310    1 1.0000000
311    1 1.0000000
312    1 1.0000000
313    1 1.0000000
314    1 1.0000000
315    1 1.0000000
316    1 1.0000000
317    1 1.0000000
318    1 1.0000000
319    1 1.0000000
320    1 1.0000000
321    1 1.0000000
322    1 1.0000000
323    1 1.0000000
324    1 1.0000000
325    1 1.0000000
326    1 1.0000000
327    1 1.0000000
328    1 1.0000000
329    1 1.0000000
330    1 1.0000000
331    1 1.0000000
332    1 1.0000000
333    1 1.0000000
334    1 1.0000000
335    1 1.0000000
336    1 1.0000000
337    1 1.0000000
338    1 1.0000000
339    1 1.0000000
340    1 1.0000000
341    1 1.0000000
342    1 1.0000000
343    1 1.0000000
344    1 1.0000000
345    1 1.0000000
346    1 1.0000000
347    1 1.0000000
348    1 1.0000000
349    1 1.0000000
350    1 1.0000000
351    1 1.0000000
352    1 1.0000000
353    1 1.0000000
354    1 1.0000000
355    1 1.0000000
356    1 1.0000000
357    1 1.0000000
358    1 1.0000000
359    1 1.0000000
360    1 1.0000000
361    1 1.0000000
362    1 1.0000000
363    1 1.0000000
364    1 1.0000000
365    1 1.0000000
366    1 1.0000000
367    1 1.0000000
368    1 1.0000000
369    1 1.0000000
370    1 1.0000000
371    1 1.0000000
372    1 1.0000000
373    1 1.0000000
374    1 1.0000000
375    1 1.0000000
376    1 1.0000000
377    1 1.0000000
378    1 1.0000000
379    1 1.0000000
380    1 1.0000000
381    1 1.0000000
382    1 1.0000000
383    1 1.0000000
384    1 1.0000000
385    1 1.0000000
386    1 1.0000000
387    1 1.0000000
388    1 1.0000000
389    1 1.0000000
390    1 1.0000000
391    1 1.0000000
392    1 1.0000000
393    1 1.0000000
394    1 1.0000000
395    1 1.0000000
396    1 1.0000000
397    1 1.0000000
398    1 1.0000000
399    1 1.0000000
400    1 1.0000000
401    2 0.5168029
402    2 0.0000000
403    2 0.0000000
404    2 0.0000000
405    2 0.0000000
406    2 0.0000000
407    2 0.0000000
408    2 0.0000000
409    2 0.0000000
410    2 0.0000000
411    2 0.0000000
412    2 0.0000000
413    2 0.0000000
414    2 0.0000000
415    2 0.0000000
416    2 0.0000000
417    2 0.0000000
418    2 0.0000000
419    2 0.0000000
420    2 0.0000000
421    2 0.0000000
422    2 0.0000000
423    2 0.0000000
424    2 0.0000000
425    2 0.0000000
426    2 0.0000000
427    2 0.0000000
428    2 0.0000000
429    2 0.0000000
430    2 0.0000000
431    2 0.0000000
432    2 0.0000000
433    2 0.0000000
434    2 0.0000000
435    2 0.0000000
436    2 0.0000000
437    2 0.0000000
438    2 0.0000000
439    2 0.0000000
440    2 0.0000000
441    2 0.0000000
442    2 0.0000000
443    2 0.0000000
444    2 0.0000000
445    2 0.0000000
446    2 0.0000000
447    2 0.0000000
448    2 0.0000000
449    2 0.0000000
450    2 0.0000000
451    2 0.0000000
452    2 0.0000000
453    2 0.0000000
454    2 0.0000000
455    2 0.0000000
456    2 0.0000000
457    2 0.0000000
458    2 0.0000000
459    2 0.0000000
460    2 0.0000000
461    2 0.0000000
462    2 0.0000000
463    2 0.0000000
464    2 0.0000000
465    2 0.0000000
466    2 0.0000000
467    2 0.0000000
468    2 0.0000000
469    2 0.0000000
470    2 0.0000000
471    2 0.0000000
472    2 0.0000000
473    2 0.0000000
474    2 0.0000000
475    2 0.0000000
476    2 0.0000000
477    2 0.0000000
478    2 0.0000000
479    2 0.0000000
480    2 0.0000000
481    2 0.0000000
482    2 0.0000000
483    2 0.0000000
484    2 0.0000000
485    2 0.0000000
486    2 0.0000000
487    2 0.0000000
488    2 0.0000000
489    2 0.0000000
490    2 0.0000000
491    2 0.0000000
492    2 0.0000000
493    2 0.0000000
494    2 0.0000000
495    2 0.0000000
496    2 0.0000000
497    2 0.0000000
498    2 0.0000000
499    2 0.0000000
500    2 0.0000000
 [ reached 'max' / getOption("max.print") -- omitted 39700 rows ]
    Step Cluster      data
1      0       1 0.0000000
2      0       1 0.0000000
3      0       1 0.0000000
4      0       1 0.0000000
5      0       1 0.0000000
6      0       1 0.0000000
7      0       1 0.0000000
8      0       1 0.0000000
9      0       1 0.0000000
10     0       1 0.0000000
11     0       1 0.0000000
12     0       1 0.0000000
13     0       1 0.0000000
14     0       1 0.0000000
15     0       1 0.0000000
16     0       1 0.0000000
17     0       1 0.0000000
18     0       1 0.0000000
19     0       1 0.0000000
20     0       1 0.0000000
21     0       1 0.0000000
22     0       1 0.0000000
23     0       1 0.0000000
24     0       1 0.0000000
25     0       1 0.0000000
26     0       1 0.0000000
27     0       1 0.0000000
28     0       1 0.0000000
29     0       1 0.0000000
30     0       1 0.0000000
31     0       1 0.0000000
32     0       1 0.0000000
33     0       1 0.0000000
34     0       1 0.0000000
35     0       1 0.0000000
36     0       1 0.0000000
37     0       1 0.0000000
38     0       1 0.0000000
39     0       1 0.0000000
40     0       1 0.0000000
41     0       1 0.0000000
42     0       1 0.0000000
43     0       1 0.0000000
44     0       1 0.0000000
45     0       1 0.0000000
46     0       1 0.0000000
47     0       1 0.0000000
48     0       1 0.0000000
49     0       1 0.0000000
50     0       1 0.0000000
51     0       1 0.0000000
52     0       1 0.0000000
53     0       1 0.0000000
54     0       1 0.0000000
55     0       1 0.0000000
56     0       1 0.0000000
57     0       1 0.0000000
58     0       1 0.0000000
59     0       1 0.0000000
60     0       1 0.0000000
61     0       1 0.0000000
62     0       1 0.0000000
63     0       1 0.0000000
64     0       1 0.0000000
65     0       1 0.0000000
66     0       1 0.0000000
67     0       1 0.0000000
68     0       1 0.0000000
69     0       1 0.0000000
70     0       1 0.0000000
71     0       1 0.0000000
72     0       1 0.0000000
73     0       1 0.0000000
74     0       1 0.0000000
75     0       1 0.0000000
76     0       1 0.0000000
77     0       1 0.0000000
78     0       1 0.0000000
79     0       1 0.0000000
80     0       1 0.0000000
81     0       1 0.0000000
82     0       1 0.0000000
83     0       1 0.0000000
84     0       1 0.0000000
85     0       1 0.0000000
86     0       1 0.0000000
87     0       1 0.0000000
88     0       1 0.0000000
89     0       1 0.0000000
90     0       1 0.0000000
91     0       1 0.0000000
92     0       1 0.0000000
93     0       1 0.0000000
94     0       1 0.0000000
95     0       1 0.0000000
96     0       1 0.0000000
97     0       1 0.0000000
98     0       1 0.0000000
99     0       1 0.0000000
100    0       1 0.0000000
101    0       2 1.0000000
102    0       2 1.0000000
103    0       2 1.0000000
104    0       2 1.0000000
105    0       2 1.0000000
106    0       2 1.0000000
107    0       2 1.0000000
108    0       2 1.0000000
109    0       2 1.0000000
110    0       2 1.0000000
111    0       2 1.0000000
112    0       2 1.0000000
113    0       2 1.0000000
114    0       2 1.0000000
115    0       2 1.0000000
116    0       2 1.0000000
117    0       2 1.0000000
118    0       2 1.0000000
119    0       2 1.0000000
120    0       2 1.0000000
121    0       2 1.0000000
122    0       2 1.0000000
123    0       2 1.0000000
124    0       2 1.0000000
125    0       2 1.0000000
126    0       2 1.0000000
127    0       2 1.0000000
128    0       2 1.0000000
129    0       2 1.0000000
130    0       2 1.0000000
131    0       2 1.0000000
132    0       2 1.0000000
133    0       2 1.0000000
134    0       2 1.0000000
135    0       2 1.0000000
136    0       2 1.0000000
137    0       2 1.0000000
138    0       2 1.0000000
139    0       2 1.0000000
140    0       2 1.0000000
141    0       2 1.0000000
142    0       2 1.0000000
143    0       2 1.0000000
144    0       2 1.0000000
145    0       2 1.0000000
146    0       2 1.0000000
147    0       2 1.0000000
148    0       2 1.0000000
149    0       2 1.0000000
150    0       2 1.0000000
151    0       2 1.0000000
152    0       2 1.0000000
153    0       2 1.0000000
154    0       2 1.0000000
155    0       2 1.0000000
156    0       2 1.0000000
157    0       2 1.0000000
158    0       2 1.0000000
159    0       2 1.0000000
160    0       2 1.0000000
161    0       2 1.0000000
162    0       2 1.0000000
163    0       2 1.0000000
164    0       2 1.0000000
165    0       2 1.0000000
166    0       2 1.0000000
167    0       2 1.0000000
168    0       2 1.0000000
169    0       2 1.0000000
170    0       2 1.0000000
171    0       2 1.0000000
172    0       2 1.0000000
173    0       2 1.0000000
174    0       2 1.0000000
175    0       2 1.0000000
176    0       2 1.0000000
177    0       2 1.0000000
178    0       2 1.0000000
179    0       2 1.0000000
180    0       2 1.0000000
181    0       2 1.0000000
182    0       2 1.0000000
183    0       2 1.0000000
184    0       2 1.0000000
185    0       2 1.0000000
186    0       2 1.0000000
187    0       2 1.0000000
188    0       2 1.0000000
189    0       2 1.0000000
190    0       2 1.0000000
191    0       2 1.0000000
192    0       2 1.0000000
193    0       2 1.0000000
194    0       2 1.0000000
195    0       2 1.0000000
196    0       2 1.0000000
197    0       2 1.0000000
198    0       2 1.0000000
199    0       2 1.0000000
200    0       2 1.0000000
201    1       2 0.5168029
202    1       1 0.0000000
203    1       1 0.0000000
204    1       1 0.0000000
205    1       1 0.0000000
206    1       1 0.0000000
207    1       1 0.0000000
208    1       1 0.0000000
209    1       1 0.0000000
210    1       1 0.0000000
211    1       1 0.0000000
212    1       1 0.0000000
213    1       1 0.0000000
214    1       1 0.0000000
215    1       1 0.0000000
216    1       1 0.0000000
217    1       1 0.0000000
218    1       1 0.0000000
219    1       1 0.0000000
220    1       1 0.0000000
221    1       1 0.0000000
222    1       1 0.0000000
223    1       1 0.0000000
224    1       1 0.0000000
225    1       1 0.0000000
226    1       1 0.0000000
227    1       1 0.0000000
228    1       1 0.0000000
229    1       1 0.0000000
230    1       1 0.0000000
231    1       1 0.0000000
232    1       1 0.0000000
233    1       1 0.0000000
234    1       1 0.0000000
235    1       1 0.0000000
236    1       1 0.0000000
237    1       1 0.0000000
238    1       1 0.0000000
239    1       1 0.0000000
240    1       1 0.0000000
241    1       1 0.0000000
242    1       1 0.0000000
243    1       1 0.0000000
244    1       1 0.0000000
245    1       1 0.0000000
246    1       1 0.0000000
247    1       1 0.0000000
248    1       1 0.0000000
249    1       1 0.0000000
250    1       1 0.0000000
251    1       1 0.0000000
252    1       1 0.0000000
253    1       1 0.0000000
254    1       1 0.0000000
255    1       1 0.0000000
256    1       1 0.0000000
257    1       1 0.0000000
258    1       1 0.0000000
259    1       1 0.0000000
260    1       1 0.0000000
261    1       1 0.0000000
262    1       1 0.0000000
263    1       1 0.0000000
264    1       1 0.0000000
265    1       1 0.0000000
266    1       1 0.0000000
267    1       1 0.0000000
268    1       1 0.0000000
269    1       1 0.0000000
270    1       1 0.0000000
271    1       1 0.0000000
272    1       1 0.0000000
273    1       1 0.0000000
274    1       1 0.0000000
275    1       1 0.0000000
276    1       1 0.0000000
277    1       1 0.0000000
278    1       1 0.0000000
279    1       1 0.0000000
280    1       1 0.0000000
281    1       1 0.0000000
282    1       1 0.0000000
283    1       1 0.0000000
284    1       1 0.0000000
285    1       1 0.0000000
286    1       1 0.0000000
287    1       1 0.0000000
288    1       1 0.0000000
289    1       1 0.0000000
290    1       1 0.0000000
291    1       1 0.0000000
292    1       1 0.0000000
293    1       1 0.0000000
294    1       1 0.0000000
295    1       1 0.0000000
296    1       1 0.0000000
297    1       1 0.0000000
298    1       1 0.0000000
299    1       1 0.0000000
300    1       1 0.0000000
301    1       2 1.0000000
302    1       2 1.0000000
303    1       2 1.0000000
304    1       2 1.0000000
305    1       2 1.0000000
306    1       2 1.0000000
307    1       2 1.0000000
308    1       2 1.0000000
309    1       2 1.0000000
310    1       2 1.0000000
311    1       2 1.0000000
312    1       2 1.0000000
313    1       2 1.0000000
314    1       2 1.0000000
315    1       2 1.0000000
316    1       2 1.0000000
317    1       2 1.0000000
318    1       2 1.0000000
319    1       2 1.0000000
320    1       2 1.0000000
321    1       2 1.0000000
322    1       2 1.0000000
323    1       2 1.0000000
324    1       2 1.0000000
325    1       2 1.0000000
326    1       2 1.0000000
327    1       2 1.0000000
328    1       2 1.0000000
329    1       2 1.0000000
330    1       2 1.0000000
331    1       2 1.0000000
332    1       2 1.0000000
333    1       2 1.0000000
 [ reached 'max' / getOption("max.print") -- omitted 39867 rows ]
     Step intracls_average.c1 intracls_average.c2 intracls_centroid.c1 intracls_centroid.c2
c1      0               0.000               0.000 0.000000000000000000 0.000000000000000666
c2      0               0.000               0.000 0.000000000000000000 0.000000000000000666
c11     1             0.00000             0.00957              0.00000              0.00947
c21     1             0.00000             0.00957              0.00000              0.00947
c12     2               0.013               0.000               0.0128               0.0000
c22     2               0.013               0.000               0.0128               0.0000
c13     3            0.012966            0.000772             0.012777             0.000764
c23     3            0.012966            0.000772             0.012777             0.000764
c14     4             0.01309             0.00746              0.01290              0.00732
c24     4             0.01309             0.00746              0.01290              0.00732
c15     5              0.0110              0.0131               0.0108               0.0129
c25     5              0.0110              0.0131               0.0108               0.0129
c16     6              0.0110              0.0192               0.0108               0.0189
c26     6              0.0110              0.0192               0.0108               0.0189
c17     7              0.0111              0.0192               0.0109               0.0188
c27     7              0.0111              0.0192               0.0109               0.0188
c18     8              0.0194              0.0110               0.0189               0.0108
c28     8              0.0194              0.0110               0.0189               0.0108
c19     9              0.0194              0.0115               0.0189               0.0112
c29     9              0.0194              0.0115               0.0189               0.0112
c110   10              0.0196              0.0181               0.0191               0.0176
c210   10              0.0196              0.0181               0.0191               0.0176
c111   11              0.0183              0.0214               0.0177               0.0207
c211   11              0.0183              0.0214               0.0177               0.0207
c112   12              0.0235              0.0216               0.0228               0.0209
c212   12              0.0235              0.0216               0.0228               0.0209
c113   13              0.0238              0.0273               0.0230               0.0264
c213   13              0.0238              0.0273               0.0230               0.0264
c114   14              0.0292              0.0276               0.0282               0.0267
c214   14              0.0292              0.0276               0.0282               0.0267
c115   15              0.0295              0.0313               0.0285               0.0302
c215   15              0.0295              0.0313               0.0285               0.0302
c116   16              0.0295              0.0375               0.0285               0.0362
c216   16              0.0295              0.0375               0.0285               0.0362
c117   17              0.0298              0.0375               0.0286               0.0362
c217   17              0.0298              0.0375               0.0286               0.0362
c118   18              0.0453              0.0298               0.0437               0.0286
c218   18              0.0453              0.0298               0.0437               0.0286
c119   19              0.0452              0.0301               0.0433               0.0288
c219   19              0.0452              0.0301               0.0433               0.0288
c120   20              0.0456              0.0342               0.0437               0.0327
c220   20              0.0456              0.0342               0.0437               0.0327
c121   21              0.0363              0.0456               0.0345               0.0437
c221   21              0.0363              0.0456               0.0345               0.0437
c122   22              0.0461              0.0396               0.0441               0.0376
c222   22              0.0461              0.0396               0.0441               0.0376
c123   23              0.0515              0.0400               0.0494               0.0380
c223   23              0.0515              0.0400               0.0494               0.0380
c124   24              0.0520              0.0401               0.0498               0.0378
c224   24              0.0520              0.0401               0.0498               0.0378
c125   25              0.0405              0.0558               0.0381               0.0534
c225   25              0.0405              0.0558               0.0381               0.0534
c126   26              0.0563              0.0439               0.0539               0.0413
c226   26              0.0563              0.0439               0.0539               0.0413
c127   27              0.0490              0.0563               0.0461               0.0539
c227   27              0.0490              0.0563               0.0461               0.0539
c128   28              0.0554              0.0568               0.0521               0.0544
c228   28              0.0554              0.0568               0.0521               0.0544
c129   29              0.0559              0.0603               0.0525               0.0576
c229   29              0.0559              0.0603               0.0525               0.0576
c130   30              0.0559              0.0668               0.0525               0.0638
c230   30              0.0559              0.0668               0.0525               0.0638
c131   31              0.0668              0.0573               0.0638               0.0535
c231   31              0.0668              0.0573               0.0638               0.0535
c132   32              0.0573              0.0701               0.0535               0.0668
c232   32              0.0573              0.0701               0.0535               0.0668
c133   33              0.0701              0.0637               0.0668               0.0595
c233   33              0.0701              0.0637               0.0668               0.0595
c134   34              0.0637              0.0786               0.0595               0.0747
c234   34              0.0637              0.0786               0.0595               0.0747
c135   35              0.0786              0.0679               0.0747               0.0634
c235   35              0.0786              0.0679               0.0747               0.0634
c136   36              0.0793              0.0729               0.0753               0.0681
c236   36              0.0793              0.0729               0.0753               0.0681
c137   37              0.0846              0.0714               0.0789               0.0680
c237   37              0.0846              0.0714               0.0789               0.0680
c138   38              0.0720              0.0865               0.0686               0.0806
c238   38              0.0720              0.0865               0.0686               0.0806
c139   39              0.0872              0.0727               0.0812               0.0688
c239   39              0.0872              0.0727               0.0812               0.0688
c140   40              0.0734              0.0911               0.0694               0.0848
c240   40              0.0734              0.0911               0.0694               0.0848
c141   41              0.0760              0.0918               0.0717               0.0855
c241   41              0.0760              0.0918               0.0717               0.0855
c142   42              0.0986              0.0767               0.0916               0.0723
c242   42              0.0986              0.0767               0.0916               0.0723
c143   43              0.1054              0.0767               0.0976               0.0723
c243   43              0.1054              0.0767               0.0976               0.0723
c144   44              0.0818              0.1054               0.0771               0.0976
c244   44              0.0818              0.1054               0.0771               0.0976
c145   45              0.0818              0.1059               0.0771               0.0974
c245   45              0.0818              0.1059               0.0771               0.0974
c146   46              0.1018              0.0924               0.0951               0.0854
c246   46              0.1018              0.0924               0.0951               0.0854
c147   47              0.0932              0.1016               0.0860               0.0942
c247   47              0.0932              0.1016               0.0860               0.0942
c148   48              0.1047              0.0932               0.0968               0.0860
c248   48              0.1047              0.0932               0.0968               0.0860
c149   49              0.0904              0.1077               0.0842               0.0982
c249   49              0.0904              0.1077               0.0842               0.0982
c150   50              0.1087              0.0942               0.1004               0.0863
c250   50              0.1087              0.0942               0.1004               0.0863
c151   51              0.1137              0.0948               0.1036               0.0881
c251   51              0.1137              0.0948               0.1036               0.0881
c152   52               0.110               0.101               0.1012               0.0913
c252   52               0.110               0.101               0.1012               0.0913
c153   53              0.0956              0.1173               0.0888               0.1060
c253   53              0.0956              0.1173               0.0888               0.1060
c154   54              0.0974              0.1173                0.090                0.106
c254   54              0.0974              0.1173                0.090                0.106
c155   55               0.117               0.105               0.1071               0.0956
     intercls_centroid.c1 intercls_centroid.c2 cluster_size cluster_center
c1                  0.000                1.000          100          0.000
c2                  1.000                0.000          100          1.000
c11                 0.000                0.995           99          0.000
c21                 0.995                0.000          101          0.995
c12                 0.000                0.993          101          0.993
c22                 0.993                0.000           99          0.000
c13                 0.000                0.993          101       0.993483
c23                 0.993                0.000           99       0.000386
c14                 0.000                0.990          100        0.99342
c24                 0.990                0.000          100        0.00374
c15                 0.000                0.988          100        0.00556
c25                 0.988                0.000          100        0.99342
c16                 0.000                0.985          100        0.00556
c26                 0.985                0.000          100        0.99026
c17                 0.000                0.985           99        0.00562
c27                 0.985                0.000          101        0.99024
c18                 0.000                0.985          100        0.99014
c28                 0.985                0.000          100        0.00556
c19                 0.000                0.984          100        0.99014
c29                 0.984                0.000          100        0.00582
c110                0.000                0.981           99        0.99004
c210                0.981                0.000          101        0.00924
c111                0.000                0.980          100        0.00933
c211                0.980                0.000          100        0.98912
c112                0.000                0.977          101         0.0121
c212                0.977                0.000           99         0.9890
c113                0.000                0.974          100         0.0122
c213                0.974                0.000          100         0.9860
c114                0.000                0.971          101         0.0152
c214                0.971                0.000           99         0.9858
c115                0.000                0.968          100         0.0153
c215                0.968                0.000          100         0.9838
c116                0.000                0.965          100         0.0153
c216                0.965                0.000          100         0.9804
c117                0.000                0.965          100         0.0155
c217                0.965                0.000          100         0.9804
c118                0.000                0.961          100         0.9761
c218                0.961                0.000          100         0.0155
c119                0.000                0.960          101         0.9761
c219                0.960                0.000           99         0.0157
c120                0.000                0.958          100          0.976
c220                0.958                0.000          100          0.018
c121                0.000                0.957          100         0.0192
c221                0.957                0.000          100         0.9759
c122                0.000                0.955           99         0.9756
c222                0.955                0.000          101         0.0211
c123                0.000                0.951          100         0.9725
c223                0.951                0.000          100         0.0213
c124                0.000                0.951           99         0.9722
c224                0.951                0.000          101         0.0214
c125                0.000                0.948          100         0.0216
c225                0.948                0.000          100         0.9699
c126                0.000                0.946           99         0.9696
c226                0.946                0.000          101         0.0237
c127                0.000                0.943          101         0.0267
c227                0.943                0.000           99         0.9696
c128                0.000                0.939          102         0.0304
c228                0.939                0.000           98         0.9693
c129                0.000                0.937          101         0.0307
c229                0.937                0.000           99         0.9672
c130                0.000                0.933          101         0.0307
c230                0.933                0.000           99         0.9633
c131                0.000                0.932           99         0.9633
c231                0.932                0.000          101         0.0316
c132                0.000                0.930          101         0.0316
c232                0.930                0.000           99         0.9611
c133                0.000                0.926           99         0.9611
c233                0.926                0.000          101         0.0354
c134                0.000                0.921          101         0.0354
c234                0.921                0.000           99         0.9561
c135                0.000                0.918           99         0.9561
c235                0.918                0.000          101         0.0381
c136                0.000                0.914           98         0.9557
c236                0.914                0.000          102         0.0413
c137                0.000                0.912          103         0.0486
c237                0.912                0.000           97         0.9603
c138                0.000                0.910           96         0.9599
c238                0.910                0.000          104         0.0501
c139                0.000                0.909          103         0.0506
c239                0.909                0.000           97         0.9594
c140                0.000                0.906           96         0.9590
c240                0.906                0.000          104         0.0533
c141                0.000                0.903           97         0.9572
c241                0.903                0.000          103         0.0538
c142                0.000                0.899          104         0.0581
c242                0.899                0.000           96         0.9567
c143                0.000                0.894          104         0.0626
c243                0.894                0.000           96         0.9567
c144                0.000                0.891           96         0.9533
c244                0.891                0.000          104         0.0626
c145                0.000                0.890           96         0.9533
c245                0.890                0.000          104         0.0631
c146                0.000                0.886           98         0.9406
c246                0.886                0.000          102         0.0545
c147                0.000                0.886          101          0.055
c247                0.886                0.000           99          0.941
c148                0.000                0.883           99          0.938
c248                0.883                0.000          101          0.055
c149                0.000                0.883           97         0.9472
c249                0.883                0.000          103         0.0645
c150                0.000                0.879           99         0.9351
c250                0.879                0.000          101         0.0559
c151                0.000                0.875          103         0.0688
c251                0.875                0.000           97         0.9440
c152                0.000                0.874           98         0.9344
c252                0.874                0.000          102         0.0603
c153                0.000                0.872           96         0.9435
c253                0.872                0.000          104         0.0718
c154                0.000                0.870           96         0.9419
c254                0.870                0.000          104         0.0718
c155                0.000                0.865           99          0.929
 [ reached 'max' / getOption("max.print") -- omitted 291 rows ]
