"","Step","Cluster_1_Percentage","Cluster_2_Percentage"
"184",84,50.2,49.8
"185",85,50.2,49.8
"186",86,50.2,49.8
"187",87,50.2,49.8
"188",88,50.3,49.7
"189",89,50.3,49.7
"190",90,50.4,49.6
"191",91,50.4,49.6
"192",92,50.5,49.5
"193",93,50.5,49.5
"194",94,50.5,49.5
"195",95,50.5,49.5
"196",96,50.6,49.4
"197",97,50.6,49.4
"198",98,50.2,49.8
"199",99,52.1,47.9
"1100",100,52.2,47.8
"1101",101,52.2,47.8
"1102",102,52.3,47.7
"1103",103,52.3,47.7
"1104",104,52.4,47.6
"1105",105,48.5,51.5
"1106",106,48.6,51.4
"1107",107,48.5,51.5
"1108",108,48.6,51.4
"1109",109,48.6,51.4
"1110",110,48.6,51.4
"1111",111,48.5,51.5
"1112",112,48.5,51.5
"1113",113,48.5,51.5
"1114",114,48.6,51.4
"1115",115,50.8,49.2
"1116",116,50.9,49.1
"1117",117,50.9,49.1
"1118",118,53,47
"1119",119,53,47
"1120",120,53,47
"1121",121,52.9,47.1
"1122",122,52.9,47.1
"1123",123,52.8,47.2
"1124",124,52.8,47.2
"1125",125,52.7,47.3
"1126",126,52.7,47.3
"1127",127,52.7,47.3
"1128",128,52.8,47.2
"1129",129,52.7,47.3
"1130",130,52.8,47.2
"1131",131,52.8,47.2
"1132",132,52.9,47.1
"1133",133,52.9,47.1
"1134",134,53,47
"1135",135,52.9,47.1
"1136",136,50.8,49.2
"1137",137,53,47
"1138",138,53.1,46.9
"1139",139,53.1,46.9
"1140",140,53.2,46.8
"1141",141,53.2,46.8
"1142",142,53.3,46.7
"1143",143,53.3,46.7
"1144",144,53.4,46.6
"1145",145,53.4,46.6
"1146",146,53.4,46.6
"1147",147,53.3,46.7
"1148",148,53.4,46.6
"1149",149,53.4,46.6
"1150",150,53.5,46.5
"1151",151,51.2,48.8
"1152",152,51.3,48.7
"1153",153,51.3,48.7
"1154",154,51.4,48.6
"1155",155,51.4,48.6
"1156",156,51.4,48.6
"1157",157,51.4,48.6
"1158",158,51.5,48.5
"1159",159,51.5,48.5
"1160",160,51.5,48.5
"1161",161,51.4,48.6
"1162",162,51.5,48.5
"1163",163,51.5,48.5
"1164",164,51.6,48.4
"1165",165,47.4,52.6
"1166",166,47.5,52.5
"1167",167,47.5,52.5
"1168",168,47.5,52.5
"1169",169,47.4,52.6
"1170",170,47.4,52.6
"1171",171,47.3,52.7
"1172",172,47.4,52.6
"1173",173,47.3,52.7
"1174",174,47.3,52.7
"1175",175,47.2,52.8
"1176",176,47.2,52.8
"1177",177,47.1,52.9
"1178",178,47.2,52.8
"1179",179,47.2,52.8
"1180",180,51.8,48.2
"1181",181,51.7,48.3
"1182",182,51.7,48.3
"1183",183,51.7,48.3
"1184",184,51.8,48.2
"1185",185,51.8,48.2
"1186",186,54.6,45.4
"1187",187,54.6,45.4
"1188",188,54.7,45.3
"1189",189,51.6,48.4
"1190",190,54.8,45.2
"1191",191,54.8,45.2
"1192",192,54.8,45.2
"1193",193,54.8,45.2
"1194",194,47,53
"1195",195,46.9,53.1
"1196",196,46.9,53.1
"1197",197,46.8,53.2
"1198",198,51.9,48.1
"1199",199,51.9,48.1
"1200",200,52,48
"1201",201,51.9,48.1
"1202",202,51.9,48.1
"1203",203,51.8,48.2
"1204",204,51.9,48.1
"1205",205,51.8,48.2
"1206",206,51.8,48.2
"1207",207,46.7,53.3
"1208",208,46.7,53.3
"1209",209,46.7,53.3
"1210",210,46.7,53.3
"1211",211,46.6,53.4
"1212",212,46.7,53.3
"1213",213,46.6,53.4
"1214",214,46.6,53.4
"1215",215,46.5,53.5
"1216",216,46.5,53.5
"1217",217,46.4,53.6
"1218",218,46.5,53.5
"1219",219,46.5,53.5
"1220",220,46.5,53.5
"1221",221,46.4,53.6
"1222",222,46.4,53.6
"1223",223,46.4,53.6
"1224",224,46.5,53.5
"1225",225,46.4,53.6
"1226",226,46.4,53.6
"1227",227,46.3,53.7
"1228",228,46.4,53.6
"1229",229,51.9,48.1
"1230",230,52,48
"1231",231,46.4,53.6
"1232",232,46.4,53.6
"1233",233,55.8,44.2
"1234",234,55.8,44.2
"1235",235,55.8,44.2
"1236",236,55.8,44.2
"1237",237,55.7,44.3
"1238",238,46.2,53.8
"1239",239,46.2,53.8
"1240",240,46.2,53.8
"1241",241,46.1,53.9
"1242",242,46.1,53.9
"1243",243,46,54
"1244",244,46,54
"1245",245,46,54
"1246",246,46,54
"1247",247,45.9,54.1
"1248",248,45.9,54.1
"1249",249,45.8,54.2
"1250",250,45.8,54.2
"1251",251,45.7,54.3
"1252",252,45.7,54.3
"1253",253,45.6,54.4
"1254",254,45.6,54.4
"1255",255,45.5,54.5
"1256",256,45.5,54.5
"1257",257,45.4,54.6
"1258",258,45.5,54.5
"1259",259,46.2,53.8
"1260",260,46.2,53.8
"1261",261,56.1,43.9
"1262",262,56.2,43.8
"1263",263,56.2,43.8
"1264",264,56.3,43.7
"1265",265,56.2,43.8
"1266",266,56.2,43.8
"1267",267,45.2,54.8
"1268",268,45.2,54.8
"1269",269,45.1,54.9
"1270",270,45.1,54.9
"1271",271,45,55
"1272",272,45,55
"1273",273,45,55
"1274",274,52,48
"1275",275,52,48
"1276",276,52,48
"1277",277,51.9,48.1
"1278",278,52,48
"1279",279,51.9,48.1
"1280",280,51.9,48.1
"1281",281,51.9,48.1
"1282",282,51.9,48.1
"1283",283,51.9,48.1
"1284",284,51.9,48.1
"1285",285,51.9,48.1
"1286",286,44.8,55.2
"1287",287,44.7,55.3
"1288",288,44.8,55.2
"1289",289,44.7,55.3
"1290",290,44.7,55.3
"1291",291,44.6,55.4
"1292",292,44.6,55.4
"1293",293,44.6,55.4
"1294",294,44.6,55.4
"1295",295,44.6,55.4
"1296",296,44.6,55.4
"1297",297,44.5,55.5
"1298",298,44.5,55.5
"1299",299,44.4,55.6
"1300",300,44.5,55.5
"1301",301,44.4,55.6
"1302",302,44.4,55.6
"1303",303,56.8,43.2
"1304",304,56.9,43.1
"1305",305,56.9,43.1
"1306",306,57,43
"1307",307,44.2,55.8
"1308",308,44.3,55.7
"1309",309,44.2,55.8
"1310",310,44.2,55.8
"1311",311,44.1,55.9
"1312",312,44.2,55.8
"1313",313,57.2,42.8
"1314",314,57.3,42.7
"1315",315,57.3,42.7
"1316",316,57.4,42.6
"1317",317,57.3,42.7
"1318",318,57.3,42.7
"1319",319,52,48
"1320",320,52,48
"1321",321,51.9,48.1
"1322",322,51.9,48.1
"1323",323,51.9,48.1
"1324",324,52,48
"1325",325,44,56
"1326",326,44.1,55.9
"1327",327,44,56
"1328",328,44,56
"1329",329,43.9,56.1
"1330",330,57.6,42.4
"1331",331,57.6,42.4
"1332",332,57.6,42.4
"1333",333,57.6,42.4
"1334",334,57.7,42.3
"1335",335,57.7,42.3
"1336",336,57.8,42.2
"1337",337,57.8,42.2
"1338",338,57.9,42.1
"1339",339,57.9,42.1
"1340",340,58,42
"1341",341,58,42
"1342",342,58,42
"1343",343,58,42
"1344",344,58.1,41.9
"1345",345,58.1,41.9
"1346",346,58.2,41.8
"1347",347,58.1,41.9
"1348",348,58.2,41.8
"1349",349,58.1,41.9
"1350",350,58.2,41.8
"1351",351,58.1,41.9
"1352",352,58.2,41.8
"1353",353,58.2,41.8
"1354",354,58.2,41.8
"1355",355,58.1,41.9
"1356",356,58.2,41.8
"1357",357,43,57
"1358",358,58.3,41.7
"1359",359,58.2,41.8
"1360",360,58.3,41.7
"1361",361,58.2,41.8
"1362",362,58.2,41.8
"1363",363,58.2,41.8
"1364",364,58.2,41.8
"1365",365,58.2,41.8
"1366",366,58.3,41.7
"1367",367,58.3,41.7
"1368",368,42.7,57.3
"1369",369,42.6,57.4
"1370",370,42.6,57.4
"1371",371,42.6,57.4
"1372",372,42.6,57.4
"1373",373,42.5,57.5
"1374",374,42.6,57.4
"1375",375,42.5,57.5
"1376",376,42.6,57.4
"1377",377,42.5,57.5
"1378",378,42.6,57.4
"1379",379,42.5,57.5
"1380",380,42.6,57.4
"1381",381,42.5,57.5
"1382",382,42.5,57.5
"1383",383,42.4,57.6
"1384",384,42.4,57.6
"1385",385,42.3,57.7
"1386",386,42.3,57.7
"1387",387,42.2,57.8
"1388",388,42.3,57.7
"1389",389,42.3,57.7
"1390",390,42.4,57.6
"1391",391,42.4,57.6
"1392",392,42.5,57.5
"1393",393,42.4,57.6
"1394",394,42.4,57.6
"1395",395,42.4,57.6
"1396",396,42.4,57.6
"1397",397,42.4,57.6
"1398",398,42.5,57.5
"1399",399,42.5,57.5
"1400",400,42.5,57.5
"1401",401,42.4,57.6
"1402",402,42.4,57.6
"1403",403,42.3,57.7
"1404",404,42.4,57.6
"1405",405,42.4,57.6
"1406",406,42.5,57.5
"1407",407,42.4,57.6
"1408",408,42.4,57.6
"1409",409,42.3,57.7
"1410",410,42.3,57.7
"1411",411,42.3,57.7
"1412",412,42.3,57.7
"1413",413,42.2,57.8
"1414",414,42.2,57.8
"1415",415,42.1,57.9
"1416",416,42.1,57.9
"1417",417,42,58
"1418",418,42,58
"1419",419,42,58
"1420",420,42,58
"1421",421,42,58
"1422",422,42,58
"1423",423,41.9,58.1
"1424",424,41.9,58.1
"1425",425,41.9,58.1
"1426",426,41.9,58.1
"1427",427,41.8,58.2
"1428",428,41.8,58.2
"1429",429,41.8,58.2
"1430",430,41.9,58.1
"1431",431,41.8,58.2
"1432",432,41.9,58.1
"1433",433,41.8,58.2
"1434",434,41.9,58.1
"1435",435,41.8,58.2
"1436",436,41.9,58.1
"1437",437,41.8,58.2
"1438",438,41.8,58.2
"1439",439,41.8,58.2
"1440",440,41.8,58.2
"1441",441,41.7,58.3
"1442",442,58.2,41.8
"1443",443,58.2,41.8
"1444",444,58.3,41.7
"1445",445,58.3,41.7
"1446",446,58.4,41.6
"1447",447,58.4,41.6
"1448",448,58.5,41.5
"1449",449,58.4,41.6
"1450",450,58.4,41.6
"1451",451,58.4,41.6
"1452",452,58.4,41.6
"1453",453,41.4,58.6
"1454",454,41.5,58.5
"1455",455,41.4,58.6
"1456",456,41.4,58.6
"1457",457,41.3,58.7
"1458",458,41.3,58.7
"1459",459,41.2,58.8
"1460",460,41.3,58.7
"1461",461,41.2,58.8
"1462",462,41.3,58.7
"1463",463,41.2,58.8
"1464",464,41.3,58.7
"1465",465,41.3,58.7
"1466",466,41.3,58.7
"1467",467,41.2,58.8
"1468",468,41.3,58.7
"1469",469,41.3,58.7
"1470",470,41.4,58.6
"1471",471,41.3,58.7
"1472",472,41.4,58.6
"1473",473,41.3,58.7
"1474",474,41.4,58.6
"1475",475,41.3,58.7
"1476",476,41.3,58.7
"1477",477,41.3,58.7
"1478",478,41.4,58.6
"1479",479,59,41
"1480",480,59.1,40.9
"1481",481,59.1,40.9
"1482",482,59.2,40.8
"1483",483,59.2,40.8
"1484",484,59.3,40.7
"1485",485,59.3,40.7
"1486",486,59.4,40.6
"1487",487,59.4,40.6
"1488",488,59.4,40.6
"1489",489,59.4,40.6
"1490",490,59.5,40.5
"1491",491,59.5,40.5
"1492",492,59.6,40.4
"1493",493,59.6,40.4
"1494",494,59.6,40.4
"1495",495,59.6,40.4
"1496",496,59.6,40.4
"1497",497,59.6,40.4
"1498",498,59.6,40.4
"1499",499,59.5,40.5
"1500",500,59.6,40.4
"1501",501,59.6,40.4
"1502",502,59.6,40.4
"1503",503,59.6,40.4
"1504",504,59.6,40.4
"1505",505,59.6,40.4
"1506",506,59.7,40.3
"1507",507,61.8,38.2
"1508",508,61.8,38.2
"1509",509,61.7,38.3
"1510",510,61.7,38.3
"1511",511,59.3,40.7
"1512",512,59.4,40.6
"1513",513,59.4,40.6
"1514",514,59.5,40.5
"1515",515,59.5,40.5
"1516",516,59.6,40.4
"1517",517,59.6,40.4
"1518",518,59.6,40.4
"1519",519,59.5,40.5
"1520",520,59.6,40.4
"1521",521,59.6,40.4
"1522",522,59.7,40.3
"1523",523,59.7,40.3
"1524",524,59.8,40.2
"1525",525,59.7,40.3
"1526",526,59.7,40.3
"1527",527,59.7,40.3
"1528",528,59.8,40.2
"1529",529,59.7,40.3
"1530",530,59.7,40.3
"1531",531,59.6,40.4
"1532",532,59.7,40.3
"1533",533,59.7,40.3
"1534",534,59.8,40.2
"1535",535,59.8,40.2
"1536",536,59.9,40.1
"1537",537,59.9,40.1
"1538",538,60,40
"1539",539,60,40
"1540",540,60,40
"1541",541,59.9,40.1
"1542",542,60,40
"1543",543,59.9,40.1
"1544",544,60,40
"1545",545,59.9,40.1
"1546",546,59.9,40.1
"1547",547,59.9,40.1
"1548",548,39.9,60.1
"1549",549,39.8,60.2
"1550",550,39.9,60.1
"1551",551,39.8,60.2
"1552",552,39.8,60.2
"1553",553,39.8,60.2
"1554",554,39.9,60.1
"1555",555,59.8,40.2
"1556",556,59.8,40.2
"1557",557,59.8,40.2
"1558",558,59.9,40.1
"1559",559,59.8,40.2
"1560",560,59.8,40.2
"1561",561,59.8,40.2
"1562",562,39.7,60.3
"1563",563,39.6,60.4
"1564",564,39.6,60.4
"1565",565,39.6,60.4
"1566",566,39.6,60.4
"1567",567,39.5,60.5
"1568",568,39.5,60.5
"1569",569,39.4,60.6
"1570",570,39.4,60.6
"1571",571,39.4,60.6
"1572",572,39.4,60.6
"1573",573,60.1,39.9
"1574",574,60.2,39.8
"1575",575,60.1,39.9
"1576",576,60.2,39.8
"1577",577,60.2,39.8
"1578",578,60.2,39.8
"1579",579,60.2,39.8
"1580",580,60.3,39.7
"1581",581,60.3,39.7
"1582",582,41,59
"1583",583,60.4,39.6
"1584",584,60.4,39.6
"1585",585,63.2,36.8
"1586",586,63.3,36.7
"1587",587,63.3,36.7
"1588",588,63.4,36.6
"1589",589,63.3,36.7
"1590",590,63.4,36.6
"1591",591,63.4,36.6
"1592",592,63.5,36.5
"1593",593,63.5,36.5
"1594",594,63.6,36.4
"1595",595,63.5,36.5
"1596",596,63.5,36.5
"1597",597,63.5,36.5
"1598",598,63.6,36.4
"1599",599,63.6,36.4
"1600",600,63.7,36.3
"1601",601,63.7,36.3
"1602",602,63.8,36.2
"1603",603,63.8,36.2
"1604",604,63.9,36.1
"1605",605,63.8,36.2
"1606",606,63.9,36.1
"1607",607,63.8,36.2
"1608",608,63.9,36.1
"1609",609,63.8,36.2
"1610",610,63.8,36.2
"1611",611,63.7,36.3
"1612",612,63.8,36.2
"1613",613,63.7,36.3
"1614",614,66.6,33.4
"1615",615,66.5,33.5
"1616",616,66.6,33.4
"1617",617,66.6,33.4
"1618",618,66.7,33.3
"1619",619,66.7,33.3
"1620",620,66.8,33.2
"1621",621,66.7,33.3
"1622",622,66.8,33.2
"1623",623,66.8,33.2
"1624",624,66.9,33.1
"1625",625,66.8,33.2
"1626",626,66.9,33.1
"1627",627,66.8,33.2
"1628",628,66.9,33.1
"1629",629,66.9,33.1
"1630",630,63.4,36.6
"1631",631,63.4,36.6
"1632",632,67.1,32.9
"1633",633,67.1,32.9
"1634",634,67.3,32.7
"1635",635,64.2,35.8
"1636",636,64.3,35.7
"1637",637,64.3,35.7
"1638",638,64.4,35.6
"1639",639,64.4,35.6
"1640",640,64.4,35.6
"1641",641,64.4,35.6
"1642",642,64.5,35.5
"1643",643,64.5,35.5
"1644",644,64.6,35.4
"1645",645,64.6,35.4
"1646",646,64.6,35.4
"1647",647,64.5,35.5
"1648",648,64.6,35.4
"1649",649,64.6,35.4
"1650",650,64.7,35.3
"1651",651,64.7,35.3
"1652",652,64.8,35.2
"1653",653,64.7,35.3
"1654",654,64.8,35.2
"1655",655,64.8,35.2
"1656",656,64.9,35.1
"1657",657,38.5,61.5
"1658",658,38.5,61.5
"1659",659,38.4,61.6
"1660",660,38.4,61.6
"1661",661,38.3,61.7
"1662",662,38.3,61.7
"1663",663,38.2,61.8
"1664",664,38.2,61.8
"1665",665,38.1,61.9
"1666",666,62.8,37.2
"1667",667,62.7,37.3
"1668",668,62.8,37.2
"1669",669,62.8,37.2
"1670",670,62.9,37.1
"1671",671,62.8,37.2
"1672",672,62.9,37.1
"1673",673,62.9,37.1
"1674",674,63,37
"1675",675,37.7,62.3
"1676",676,37.7,62.3
"1677",677,37.7,62.3
"1678",678,37.6,62.4
"1679",679,37.6,62.4
"1680",680,37.6,62.4
"1681",681,37.5,62.5
"1682",682,37.5,62.5
"1683",683,37.4,62.6
"1684",684,37.5,62.5
"1685",685,37.5,62.5
"1686",686,37.6,62.4
"1687",687,37.5,62.5
"1688",688,37.6,62.4
"1689",689,37.6,62.4
"1690",690,37.6,62.4
"1691",691,37.5,62.5
"1692",692,64.2,35.8
"1693",693,64.1,35.9
"1694",694,64.2,35.8
"1695",695,64.2,35.8
"1696",696,64.3,35.7
"1697",697,64.3,35.7
"1698",698,64.4,35.6
"1699",699,69.6,30.4
"1700",700,69.7,30.3
"1701",701,69.7,30.3
"1702",702,69.8,30.2
"1703",703,69.8,30.2
"1704",704,69.9,30.1
"1705",705,69.9,30.1
"1706",706,69.9,30.1
"1707",707,69.9,30.1
"1708",708,70,30
"1709",709,69.9,30.1
"1710",710,69.9,30.1
"1711",711,69.8,30.2
"1712",712,69.8,30.2
"1713",713,36.8,63.2
"1714",714,36.9,63.1
"1715",715,62.8,37.2
"1716",716,62.9,37.1
"1717",717,62.9,37.1
"1718",718,62.9,37.1
"1719",719,62.8,37.2
"1720",720,62.9,37.1
"1721",721,62.9,37.1
"1722",722,63,37
"1723",723,62.9,37.1
"1724",724,62.9,37.1
"1725",725,62.8,37.2
"1726",726,62.8,37.2
"1727",727,62.7,37.3
"1728",728,62.8,37.2
"1729",729,62.8,37.2
"1730",730,62.9,37.1
"1731",731,62.9,37.1
"1732",732,63,37
"1733",733,63,37
"1734",734,63.1,36.9
"1735",735,63,37
"1736",736,63.1,36.9
"1737",737,63,37
"1738",738,63.1,36.9
"1739",739,63.1,36.9
"1740",740,63.1,36.9
"1741",741,36.6,63.4
"1742",742,63,37
"1743",743,63,37
"1744",744,63.1,36.9
"1745",745,63,37
"1746",746,63.1,36.9
"1747",747,63.1,36.9
"1748",748,63.1,36.9
"1749",749,36.4,63.6
"1750",750,36.4,63.6
"1751",751,59.5,40.5
"1752",752,59.5,40.5
"1753",753,67.2,32.8
"1754",754,67.2,32.8
"1755",755,67.1,32.9
"1756",756,53.3,46.7
"1757",757,53.3,46.7
"1758",758,53.3,46.7
"1759",759,53.2,46.8
"1760",760,53.2,46.8
"1761",761,53.2,46.8
"1762",762,53.3,46.7
"1763",763,67.2,32.8
"1764",764,67.2,32.8
"1765",765,67.2,32.8
"1766",766,67.2,32.8
"1767",767,48.3,51.7
"1768",768,38.2,61.8
"1769",769,38.2,61.8
"1770",770,38.2,61.8
"1771",771,38.1,61.9
"1772",772,38.1,61.9
"1773",773,38,62
"1774",774,38,62
"1775",775,38,62
"1776",776,38,62
"1777",777,37.9,62.1
"1778",778,37.9,62.1
"1779",779,37.9,62.1
"1780",780,37.9,62.1
"1781",781,37.9,62.1
"1782",782,37.9,62.1
"1783",783,53,47
"1784",784,53.1,46.9
"1785",785,53,47
"1786",786,53.1,46.9
"1787",787,53.1,46.9
"1788",788,53.1,46.9
"1789",789,37.8,62.2
"1790",790,37.8,62.2
"1791",791,37.7,62.3
"1792",792,37.7,62.3
"1793",793,37.7,62.3
"1794",794,60.3,39.7
"1795",795,60.3,39.7
"1796",796,60.3,39.7
"1797",797,60.3,39.7
"1798",798,60.3,39.7
"1799",799,60.2,39.8
"1800",800,60.3,39.7
"1801",801,60.3,39.7
"1802",802,60.4,39.6
"1803",803,60.3,39.7
"1804",804,60.3,39.7
"1805",805,60.2,39.8
"1806",806,60.2,39.8
"1807",807,60.2,39.8
"1808",808,60.2,39.8
"1809",809,60.2,39.8
"1810",810,60.3,39.7
"1811",811,60.2,39.8
"1812",812,60.3,39.7
"1813",813,60.2,39.8
"1814",814,60.3,39.7
"1815",815,60.2,39.8
"1816",816,60.3,39.7
"1817",817,60.3,39.7
"1818",818,60.4,39.6
"1819",819,60.3,39.7
"1820",820,60.3,39.7
"1821",821,60.3,39.7
"1822",822,60.4,39.6
"1823",823,60.3,39.7
"1824",824,60.4,39.6
"1825",825,60.3,39.7
"1826",826,60.4,39.6
"1827",827,33.9,66.1
"1828",828,33.9,66.1
"1829",829,33.9,66.1
"1830",830,33.9,66.1
"1831",831,33.8,66.2
"1832",832,33.8,66.2
"1833",833,33.8,66.2
"1834",834,33.8,66.2
"1835",835,33.7,66.3
"1836",836,33.7,66.3
"1837",837,33.6,66.4
"1838",838,33.7,66.3
"1839",839,33.6,66.4
"1840",840,33.6,66.4
"1841",841,33.5,66.5
"1842",842,33.5,66.5
"1843",843,33.5,66.5
"1844",844,33.5,66.5
"1845",845,33.5,66.5
"1846",846,33.5,66.5
"1847",847,33.4,66.6
"1848",848,33.4,66.6
"1849",849,33.3,66.7
"1850",850,45.1,54.9
"1851",851,45.1,54.9
"1852",852,45.1,54.9
"1853",853,45,55
"1854",854,33.2,66.8
"1855",855,33.1,66.9
"1856",856,36.5,63.5
"1857",857,36.4,63.6
"1858",858,36.4,63.6
"1859",859,36.4,63.6
"1860",860,36.4,63.6
"1861",861,36.3,63.7
"1862",862,36.3,63.7
"1863",863,36.2,63.8
"1864",864,36.2,63.8
"1865",865,36.2,63.8
"1866",866,36.3,63.7
"1867",867,36.3,63.7
"1868",868,36.4,63.6
"1869",869,36.3,63.7
"1870",870,36.4,63.6
"1871",871,36.3,63.7
"1872",872,36.4,63.6
"1873",873,36.3,63.7
"1874",874,50.1,49.9
"1875",875,61.5,38.5
"1876",876,47.5,52.5
"1877",877,47.5,52.5
"1878",878,61.7,38.3
"1879",879,61.6,38.4
"1880",880,47.4,52.6
"1881",881,47.3,52.7
"1882",882,47.4,52.6
"1883",883,47.4,52.6
"1884",884,50.1,49.9
"1885",885,50,50
"1886",886,36,64
"1887",887,54.1,45.9
"1888",888,54.2,45.8
"1889",889,54.2,45.8
"1890",890,54.3,45.7
"1891",891,54.3,45.7
"1892",892,54.4,45.6
"1893",893,54.3,45.7
"1894",894,54.3,45.7
"1895",895,54.2,45.8
"1896",896,54.3,45.7
"1897",897,54.3,45.7
"1898",898,54.4,45.6
"1899",899,54.4,45.6
"1900",900,47.7,52.3
"1901",901,47.6,52.4
"1902",902,47.6,52.4
"1903",903,47.6,52.4
"1904",904,47.6,52.4
"1905",905,54.4,45.6
"1906",906,54.5,45.5
"1907",907,54.4,45.6
"1908",908,54.4,45.6
"1909",909,54.4,45.6
"1910",910,54.5,45.5
"1911",911,54.4,45.6
"1912",912,54.4,45.6
"1913",913,54.3,45.7
"1914",914,54.4,45.6
"1915",915,45.5,54.5
"1916",916,53.5,46.5
"1917",917,53.5,46.5
"1918",918,67.5,32.5
"1919",919,67.5,32.5
"1920",920,67.5,32.5
"1921",921,67.5,32.5
"1922",922,67.6,32.4
"1923",923,67.5,32.5
"1924",924,67.5,32.5
"1925",925,67.4,32.6
"1926",926,67.5,32.5
"1927",927,67.5,32.5
"1928",928,67.6,32.4
"1929",929,67.6,32.4
"1930",930,67.6,32.4
"1931",931,67.6,32.4
"1932",932,67.7,32.3
"1933",933,67.6,32.4
"1934",934,67.7,32.3
"1935",935,67.7,32.3
"1936",936,67.7,32.3
"1937",937,67.7,32.3
"1938",938,67.8,32.2
"1939",939,67.8,32.2
"1940",940,67.9,32.1
"1941",941,67.8,32.2
"1942",942,67.8,32.2
"1943",943,67.7,32.3
"1944",944,67.8,32.2
"1945",945,67.8,32.2
"1946",946,67.8,32.2
"1947",947,67.8,32.2
"1948",948,67.9,32.1
"1949",949,67.9,32.1
"1950",950,68,32
"1951",951,68,32
"1952",952,68,32
"1953",953,68,32
"1954",954,68.1,31.9
"1955",955,68.1,31.9
"1956",956,68.1,31.9
"1957",957,68.1,31.9
"1958",958,68.2,31.8
"1959",959,68.1,31.9
"1960",960,68.2,31.8
"1961",961,68.2,31.8
"1962",962,68.3,31.7
"1963",963,68.3,31.7
"1964",964,68.3,31.7
"1965",965,30.3,69.7
"1966",966,44.8,55.2
"1967",967,53.5,46.5
"1968",968,66.5,33.5
"1969",969,66.4,33.6
"1970",970,66.4,33.6
"1971",971,66.3,33.7
"1972",972,66.3,33.7
"1973",973,66.2,33.8
"1974",974,66.3,33.7
"1975",975,66.3,33.7
"1976",976,69.9,30.1
"1977",977,69.8,30.2
"1978",978,69.8,30.2
"1979",979,69.8,30.2
"1980",980,69.9,30.1
"1981",981,69.9,30.1
"1982",982,69.9,30.1
"1983",983,47,53
"1984",984,47,53
"1985",985,71.3,28.7
"1986",986,71.3,28.7
"1987",987,71.3,28.7
"1988",988,47,53
"1989",989,47,53
"1990",990,33.5,66.5
"1991",991,33.4,66.6
"1992",992,33.4,66.6
"1993",993,33.3,66.7
"1994",994,33.4,66.6
"1995",995,33.3,66.7
"1996",996,33.3,66.7
"1997",997,33.3,66.7
"1998",998,33.3,66.7
"1999",999,33.2,66.8
"11000",1000,33.2,66.8
